x,Cl_3
0.39701,0.24417
0.4967,0.25173
0.59866,0.25306
0.64763,0.25306
0.69976,0.2504
0.71678,0.2584
0.74866,0.26107
0.77932,0.24194
0.79971,0.21303
0.82107,0.17299
0.84916,0.13339
0.86789,0.15652
0.89591,0.20279
0.91601,0.22237
0.93895,0.21658
