x,Cl_6
0.39677,0.51032
0.49762,0.51086
0.59686,0.55459
0.64452,0.53103
0.69439,0.51059
0.7145,0.52129
0.74407,0.52266
0.77566,0.48839
0.79948,0.40158
0.81626,0.36864
0.84479,0.32057
0.86576,0.33662
0.89459,0.38741
0.91494,0.43196
0.9347,0.42708
