x,Cl_5
0.39627,0.42524
0.49506,0.42907
0.59549,0.44018
0.64524,0.43119
0.69383,0.42611
0.71581,0.43281
0.74519,0.42942
0.77411,0.41094
0.79882,0.3466
0.81555,0.29232
0.84474,0.23301
0.86313,0.27047
0.8944,0.32302
0.91279,0.36048
0.93426,0.35823
