x,Cd_3
0.39877,0.015614
0.50006,0.015578
0.60004,0.016538
0.65134,0.015682
0.70132,0.015822
0.72053,0.017047
0.75225,0.018997
0.78356,0.023075
0.8019,0.025386
0.80551,0.027968
0.82208,0.030777
0.84917,0.048078
0.86091,0.055551
0.87261,0.061122
0.94214,0.104601
