x,Cl_0
0.39616,-0.01105
0.49679,-0.01066
0.59745,-0.01415
0.64757,-0.00954
0.69774,-0.01553
0.71656,-0.00881
0.74678,-0.00774
0.77702,-0.0102
0.79762,-0.00525
0.81821,0.00253
0.84807,0.0036
0.86656,0.00396
0.89749,0.00609
0.91702,0.0128
0.93696,0.00716
