x,Cd_2
0.40172,0.014034
0.50296,0.014012
0.60251,0.013932
0.65256,0.013778
0.70317,0.012595
0.72229,0.01283
0.75325,0.015128
0.7814,0.017997
0.80225,0.021035
0.82368,0.027046
0.852,0.04421
0.87181,0.055939
0.90237,0.072589
0.92278,0.087291
0.94259,0.09822
