x,Cl_2
0.3951,0.15201
0.49617,0.15474
0.59831,0.15806
0.64493,0.16114
0.69739,0.16242
0.71622,0.16419
0.74851,0.16193
0.77637,0.15257
0.79753,0.13699
0.81651,0.11029
0.84938,0.08536
0.86947,0.10224
0.89709,0.13601
0.9154,0.14844
0.93605,0.14487
