x,Cl_4
0.39416,0.33473
0.4965,0.33017
0.59766,0.33287
0.64854,0.33115
0.69772,0.33055
0.71632,0.33893
0.74618,0.35345
0.77635,0.32152
0.79587,0.27505
0.8171,0.22578
0.84795,0.17594
0.86808,0.20894
0.89374,0.26097
0.91622,0.28222
0.93596,0.2878
