x,Cd_0
0.40189,0.01206
0.5015,0.011917
0.60167,0.011774
0.65119,0.011445
0.72152,0.01078
0.75136,0.012046
0.78233,0.014455
0.80205,0.017318
0.82122,0.022182
0.85063,0.041508
0.87155,0.054374
0.90038,0.070214
0.91168,0.076104
0.92242,0.082451
0.94219,0.09263
