x,Cd_5
0.40212,0.027224
0.50166,0.025972
0.60433,0.025266
0.65521,0.024686
0.7039,0.026916
0.7218,0.030137
0.75401,0.035809
0.78491,0.043747
0.80325,0.046334
0.82342,0.052955
0.85037,0.065923
0.87237,0.076126
0.90208,0.096664
0.92237,0.112532
0.94129,0.126496
